SecurityKey,VendorKey,RatingTypeKey,CurrentRating,PreviousRating,RatingStartDate,RatingEndDate,IsOutlier
12,1,1,B,CCC,2014-04-14,2015-03-31,False
12,1,1,B,B,2015-04-01,2015-11-19,False
12,1,1,B,B,2015-11-20,,False
13,1,1,BBB,,2013-12-05,2015-05-14,False
13,1,1,A,BBB,2015-05-15,2015-09-13,False
13,1,1,A,A,2015-09-14,,False
14,1,1,BB,,2014-06-13,2014-08-28,False
14,1,1,BB,BB,2014-08-29,2015-08-13,False
14,1,1,BB,BB,2015-08-14,,False
14,4,1,BBB,,2012-06-15,2013-02-28,False
14,4,1,BBB,BBB,2013-03-01,,False
15,1,1,B,,2013-12-11,2015-08-27,False
15,1,1,B,B,2015-08-28,,False
15,3,1,BBB,,2011-11-13,2013-01-29,False
15,3,1,B,BBB,2013-01-30,2016-11-28,False
15,3,1,BB,B,2016-11-29,,False
16,1,1,BBB,,2013-11-04,2015-02-08,False
16,1,1,BBB,BBB,2015-02-09,2015-11-11,False
16,1,1,BBB,BBB,2015-11-12,,False
16,2,1,BBB,,2016-10-31,,False
16,4,1,BB,,2012-06-15,2013-03-14,False
16,4,1,BBB,BB,2013-03-15,,False
17,1,1,AA,,2014-05-14,2015-10-04,False
17,1,1,AA,AA,2015-10-05,,False
17,2,1,AA,,2016-10-05,,False
18,1,1,BBB,,2014-05-07,2015-04-28,False
18,1,1,A,BBB,2015-04-29,2015-07-26,False
18,1,1,BBB,A,2015-07-27,,False
18,4,1,BBB,,2012-06-15,2012-12-13,False
18,4,1,BBB,BBB,2012-12-14,,False
19,1,1,A,,2013-09-23,2015-11-11,False
19,1,1,A,A,2015-11-12,,False
19,4,1,A,,2012-06-19,2014-12-01,False
19,4,1,A,A,2014-12-02,2016-11-03,False
19,4,1,A,A,2016-11-04,,False
20,1,1,AA,,2014-06-06,2014-11-25,False
20,1,1,A,AA,2014-11-26,2015-12-03,False
20,1,1,A,A,2015-12-04,,False
21,1,1,A,,2013-08-29,2015-05-17,False
21,1,1,A,A,2015-05-18,2015-11-15,False
21,1,1,AA,A,2015-11-16,,False
21,3,1,BBB,,2016-07-21,,False
21,4,1,BBB,,2012-06-15,2012-11-26,False
21,4,1,BBB,BBB,2012-11-27,,False
22,1,1,BBB,,2014-02-21,2014-08-18,False
22,1,1,BBB,BBB,2014-08-19,2015-11-08,False
22,1,1,BBB,BBB,2015-11-09,,False
22,4,1,BB,,2012-06-15,2013-04-21,False
22,4,1,BBB,BB,2013-04-22,,False
23,1,1,B,,2014-12-03,2015-12-21,False
23,1,1,B,B,2015-12-22,,False
24,1,1,BBB,,2013-05-30,2014-06-26,False
24,1,1,BBB,BBB,2014-06-27,2014-12-11,False
24,1,1,BBB,BBB,2014-12-12,2015-09-08,False
24,1,1,BBB,BBB,2015-09-09,,False
24,4,1,BB,,2012-06-15,,False
25,4,1,A,,2012-06-15,2013-02-13,False
25,4,1,A,A,2013-02-14,2015-05-17,False
25,4,1,A,A,2015-05-18,,False
26,1,1,A,,2014-12-10,2015-11-12,False
26,1,1,BB,A,2015-11-13,,False
26,4,1,BBB,,2012-06-15,2012-10-23,False
26,4,1,BBB,BBB,2012-10-24,2013-07-30,False
26,4,1,BBB,BBB,2013-07-31,,False
27,3,1,BB,,2015-11-12,2016-08-23,False
27,3,1,D,BB,2016-08-24,,False
27,4,1,BB,,2014-09-04,,False
28,1,1,BB,,2013-04-16,2014-05-13,False
28,1,1,BB,BB,2014-05-14,2014-10-28,False
28,1,1,BB,BB,2014-10-29,2015-10-27,False
28,1,1,BB,BB,2015-10-28,,False
28,3,1,BBB,,2016-10-20,,False
29,1,1,BBB,,2013-03-22,2013-11-25,False
29,1,1,A,BBB,2013-11-26,2014-11-13,False
29,1,1,A,A,2014-11-14,2015-07-26,False
29,1,1,A,A,2015-07-27,,False
30,4,1,BB,,2016-12-02,,False
31,1,1,BBB,,2014-02-24,2015-05-12,False
31,1,1,BBB,BBB,2015-05-13,2015-12-01,False
31,1,1,BBB,BBB,2015-12-02,,False
31,3,1,BBB,,2012-06-21,,False
31,4,1,BBB,,2012-07-06,2016-09-05,False
31,4,1,BBB,BBB,2016-09-06,,False
32,1,1,A,,2015-08-31,,False
32,3,1,BBB,,2013-03-29,2014-05-13,False
32,3,1,BBB,BBB,2014-05-14,2016-10-30,False
32,3,1,BBB,BBB,2016-10-31,,False
32,4,1,A,,2014-11-12,,False
33,1,1,A,,2013-08-09,2014-07-27,False
33,1,1,A,A,2014-07-28,2015-10-26,False
33,1,1,A,A,2015-10-27,,False
33,4,1,BBB,,2012-06-15,2012-12-09,False
33,4,1,BBB,BBB,2012-12-10,,False
34,1,1,AA,,2013-09-24,2014-11-25,False
34,1,1,AA,AA,2014-11-26,,False
34,3,1,AA,,2016-04-26,,False
35,3,1,A,,2016-11-14,,False
35,4,1,A,,2015-05-13,,False
36,1,1,A,,2013-07-17,2015-10-13,False
36,1,1,A,A,2015-10-14,,False
36,3,1,BBB,,2011-04-28,,False
36,4,1,BBB,,2012-06-15,2012-10-16,False
36,4,1,BBB,BBB,2012-10-17,2014-09-08,False
36,4,1,BBB,BBB,2014-09-09,2016-10-13,False
36,4,1,BBB,BBB,2016-10-14,,False
37,1,1,AA,,2013-08-26,2015-01-15,False
37,1,1,A,AA,2015-01-16,,False
37,4,1,A,,2012-06-15,2015-11-04,False
37,4,1,A,A,2015-11-05,,False
38,1,1,BBB,,2013-07-01,2015-01-15,False
38,1,1,BB,BBB,2015-01-16,2015-12-09,False
38,1,1,BBB,BB,2015-12-10,,False
39,1,1,BB,,2014-05-12,2015-03-18,False
39,1,1,BBB,BB,2015-03-19,2015-11-30,False
39,1,1,BBB,BBB,2015-12-01,,False
39,4,1,BBB,,2012-06-15,2012-08-19,False
39,4,1,BBB,BBB,2012-08-20,,False
40,1,1,A,,2013-09-11,2015-05-06,False
40,1,1,BBB,A,2015-05-07,2015-08-13,False
40,1,1,BB,BBB,2015-08-14,,False
40,4,1,BB,,2016-09-19,,False
41,4,1,B,,2013-12-09,2015-12-01,False
41,4,1,B,B,2015-12-02,,False
42,4,1,A,,2012-06-15,2012-10-16,False
42,4,1,A,A,2012-10-17,2014-12-02,False
42,4,1,A,A,2014-12-03,2015-07-19,False
42,4,1,A,A,2015-07-20,,False
43,1,1,A,,2013-03-04,2013-11-26,False
43,1,1,A,A,2013-11-27,2015-06-03,False
43,1,1,A,A,2015-06-04,2015-10-29,False
43,1,1,A,A,2015-10-30,,False
44,2,1,AA,,2012-06-15,,False
44,5,1,AA,,2005-08-16,,False
45,1,1,A,,2013-08-20,2015-02-09,False
45,1,1,A,A,2015-02-10,2015-08-04,False
45,1,1,BBB,A,2015-08-05,,False
45,4,1,A,,2012-06-15,2016-08-09,False
45,4,1,BBB,A,2016-08-10,,False
46,1,1,CCC,,2013-12-16,2014-07-08,False
46,1,1,B,CCC,2014-07-09,2015-09-16,False
46,1,1,B,B,2015-09-17,,False
46,2,1,BB,,2012-06-15,2012-08-05,False
46,2,1,CC,BB,2012-08-06,,False
47,3,1,BB,,2011-06-01,2011-08-11,False
47,3,1,BB,BB,2011-08-12,2013-12-09,False
47,3,1,BB,BB,2013-12-10,,False
47,4,1,B,,2015-06-08,2016-06-07,False
47,4,1,BBB,B,2016-06-08,,False
48,3,1,BBB,,2015-04-09,,False
48,4,1,BBB,,2013-05-09,2013-11-04,False
48,4,1,BBB,BBB,2013-11-05,,False
49,1,1,A,,2014-06-13,2015-06-02,False
49,1,1,A,A,2015-06-03,2015-11-29,False
49,1,1,A,A,2015-11-30,,False
49,4,1,BBB,,2012-06-15,,False
50,1,1,A,,2013-05-01,2014-06-02,False
50,1,1,AA,A,2014-06-03,2014-11-16,False
50,1,1,AA,AA,2014-11-17,2015-11-08,False
50,1,1,BBB,AA,2015-11-09,,False
50,4,1,A,,2012-06-15,,False
51,1,1,BB,,2013-08-23,2014-08-26,False
51,1,1,BB,BB,2014-08-27,,False
51,3,1,BB,,2016-02-09,,False
51,4,1,B,,2012-06-15,2013-01-21,False
51,4,1,B,B,2013-01-22,,False
52,1,1,A,,2015-11-10,,False
53,1,1,A,,2014-06-04,2015-01-19,False
53,1,1,A,A,2015-01-20,2015-09-23,False
53,1,1,A,A,2015-09-24,,False
53,4,1,BBB,,2012-06-15,2013-05-05,False
53,4,1,BBB,BBB,2013-05-06,2016-11-28,False
53,4,1,A,BBB,2016-11-29,,False
54,1,1,BB,,2015-10-14,,False
55,1,1,AA,,2013-12-19,2014-09-15,False
55,1,1,AA,AA,2014-09-16,2015-10-28,False
55,1,1,A,AA,2015-10-29,,False
55,4,1,A,,2012-06-15,,False
56,1,1,BBB,,2014-05-28,2014-11-17,False
56,1,1,BBB,BBB,2014-11-18,2015-09-16,False
56,1,1,BBB,BBB,2015-09-17,,False
56,3,1,BBB,,2010-09-30,2012-11-26,False
56,3,1,BBB,BBB,2012-11-27,2016-10-13,False
56,3,1,BBB,BBB,2016-10-14,,False
56,4,1,BBB,,2012-06-15,,False
57,1,1,A,,2014-04-07,2015-03-03,False
57,1,1,A,A,2015-03-04,,False
57,3,1,A,,2016-02-01,,False
57,4,1,A,,2012-06-15,,False
58,1,1,BBB,,2015-08-06,,False
59,3,1,AAA,,2013-12-04,2014-08-19,False
59,3,1,AAA,AAA,2014-08-20,2015-08-17,False
59,3,1,AAA,AAA,2015-08-18,2016-08-14,False
59,3,1,AAA,AAA,2016-08-15,,False
59,4,1,AAA,,2013-05-01,,False
60,1,1,BBB,,2014-06-11,,False
60,3,1,BBB,,2015-09-28,,False
60,4,1,BB,,2014-11-04,,False
61,2,1,BB,,2012-06-15,2012-07-18,False
61,2,1,BB,BB,2012-07-19,,False
61,3,1,BB,,2014-10-30,2016-10-06,False
61,3,1,BB,BB,2016-10-07,,False
61,4,1,BB,,2014-05-20,2016-06-08,False
61,4,1,BB,BB,2016-06-09,,False
62,3,1,A,,2016-10-13,,False
63,3,1,BBB,,2014-10-14,2016-01-20,False
63,3,1,BBB,BBB,2016-01-21,,False
63,4,1,BB,,2012-06-15,2013-05-28,False
63,4,1,BBB,BB,2013-05-29,2013-08-07,False
63,4,1,BBB,BBB,2013-08-08,,False
64,1,1,A,,2013-12-05,2015-05-26,False
64,1,1,A,A,2015-05-27,2015-11-30,False
64,1,1,A,A,2015-12-01,,False
64,4,1,BBB,,2012-06-15,2012-09-17,False
64,4,1,BBB,BBB,2012-09-18,,False
65,3,1,B,,2016-06-16,,False
65,4,1,B,,2014-06-16,2015-05-31,False
65,4,1,B,B,2015-06-01,,False
66,3,1,BB,,2014-03-25,2015-03-22,False
66,3,1,BB,BB,2015-03-23,2016-03-14,False
66,3,1,BB,BB,2016-03-15,,False
66,4,1,B,,2012-06-15,,False
67,1,1,BBB,,2013-08-22,2015-07-29,False
67,1,1,BBB,BBB,2015-07-30,,False
67,3,1,A,,2011-03-24,2013-02-21,False
67,3,1,A,A,2013-02-22,2015-03-30,False
67,3,1,A,A,2015-03-31,,False
67,4,1,A,,2012-06-15,,False
68,1,1,BBB,,2014-03-20,2014-07-27,False
68,1,1,BBB,BBB,2014-07-28,,False
68,3,1,BBB,,2011-03-03,2013-03-21,False
68,3,1,BBB,BBB,2013-03-22,2016-04-21,False
68,3,1,BBB,BBB,2016-04-22,,False
68,4,1,BBB,,2012-06-15,2016-12-01,False
68,4,1,BB,BBB,2016-12-02,,False
69,3,1,B,,2012-05-14,2013-05-22,False
69,3,1,B,B,2013-05-23,,False
70,1,1,A,,2013-11-05,2014-11-11,False
70,1,1,A,A,2014-11-12,2015-08-10,False
70,1,1,A,A,2015-08-11,,False
70,3,1,A,,2011-01-25,2012-11-13,False
70,3,1,A,A,2012-11-14,,False
70,4,1,A,,2012-06-15,,False
71,3,1,A,,2014-07-18,,False
71,4,1,BBB,,2016-11-14,,False
72,1,1,BBB,,2014-05-12,2015-08-04,False
72,1,1,BBB,BBB,2015-08-05,,False
72,4,1,BBB,,2013-04-03,,False
73,1,1,A,,2014-02-14,2014-11-25,False
73,1,1,A,A,2014-11-26,2015-11-08,False
73,1,1,A,A,2015-11-09,,False
73,4,1,BBB,,2012-06-15,,False
74,1,1,AA,,2013-08-14,2015-02-26,False
74,1,1,A,AA,2015-02-27,,False
74,4,1,A,,2012-06-15,,False
75,1,1,BBB,,2013-08-13,2014-09-17,False
75,1,1,A,BBB,2014-09-18,2015-07-06,False
75,1,1,A,A,2015-07-07,,False
75,2,1,BBB,,2012-06-15,,False
76,1,1,BB,,2013-05-09,2014-03-30,False
76,1,1,BB,BB,2014-03-31,2015-05-25,False
76,1,1,BB,BB,2015-05-26,,False
76,4,1,BBB,,2012-06-15,2015-10-18,False
76,4,1,BB,BBB,2015-10-19,2016-07-04,False
76,4,1,CCC,BB,2016-07-05,,False
77,1,1,BBB,,2014-05-16,2014-07-22,False
77,1,1,BBB,BBB,2014-07-23,2015-10-21,False
77,1,1,A,BBB,2015-10-22,,False
77,2,1,A,,2012-06-15,2013-03-04,False
77,2,1,A,A,2013-03-05,2016-10-25,False
77,2,1,A,A,2016-10-26,,False
78,1,1,A,,2013-12-18,2014-12-02,False
78,1,1,A,A,2014-12-03,2015-09-09,False
78,1,1,A,A,2015-09-10,,False
78,4,1,BBB,,2016-08-17,,False
79,1,1,A,,2013-09-26,2014-11-17,False
79,1,1,A,A,2014-11-18,2015-08-05,False
79,1,1,A,A,2015-08-06,,False
80,4,1,BBB,,2015-11-09,,False
81,1,1,BBB,,2013-05-23,2014-03-27,False
81,1,1,A,BBB,2014-03-28,2014-11-05,False
81,1,1,A,A,2014-11-06,2015-09-16,False
81,1,1,A,A,2015-09-17,,False
81,3,1,BBB,,2011-06-21,2012-03-05,False
81,3,1,BB,BBB,2012-03-06,,False
81,4,1,A,,2016-08-24,,False
82,1,1,A,,2014-03-18,2014-07-31,False
82,1,1,AA,A,2014-08-01,2015-10-27,False
82,1,1,AA,AA,2015-10-28,,False
82,4,1,BBB,,2012-06-15,2013-02-07,False
82,4,1,BBB,BBB,2013-02-08,2016-10-24,False
82,4,1,BBB,BBB,2016-10-25,,False
83,1,1,BBB,,2014-05-07,2015-05-06,False
83,1,1,BBB,BBB,2015-05-07,,False
83,4,1,BBB,,2013-03-13,2016-02-28,False
83,4,1,B,BBB,2016-02-29,2016-12-12,False
83,4,1,B,B,2016-12-13,,False
84,3,1,BB,,2014-01-31,2015-06-24,False
84,3,1,BB,BB,2015-06-25,2016-04-10,False
84,3,1,BB,BB,2016-04-11,,False
85,4,1,BBB,,2016-06-10,,False
86,1,1,BB,,2014-01-28,2015-02-19,False
86,1,1,BBB,BB,2015-02-20,2015-12-20,False
86,1,1,BBB,BBB,2015-12-21,,False
87,2,1,BB,,2012-06-15,2015-02-17,False
87,2,1,BB,BB,2015-02-18,,False
87,4,1,BB,,2016-03-10,,False
88,1,1,BBB,,2014-08-12,,False
88,3,1,BB,,2016-05-31,,False
89,4,1,BBB,,2012-06-15,2013-04-29,False
89,4,1,BBB,BBB,2013-04-30,2013-10-27,False
89,4,1,BBB,BBB,2013-10-28,2014-11-09,False
89,4,1,BBB,BBB,2014-11-10,2016-03-08,False
89,4,1,A,BBB,2016-03-09,2016-09-12,False
89,4,1,A,A,2016-09-13,,False
90,1,1,BBB,,2015-04-23,,False
90,2,1,BBB,,2016-02-18,,False
90,3,1,A,,2013-09-13,2016-08-09,False
90,3,1,A,A,2016-08-10,,False
90,4,1,BBB,,2012-09-10,,False
91,1,1,BBB,,2013-11-01,2015-03-08,False
91,1,1,BBB,BBB,2015-03-09,2015-12-21,False
91,1,1,BB,BBB,2015-12-22,,False
91,3,1,BBB,,2011-04-11,,False
91,4,1,BBB,,2012-06-15,2013-03-20,False
91,4,1,BBB,BBB,2013-03-21,,False
92,1,1,A,,2014-04-07,2015-01-04,False
92,1,1,A,A,2015-01-05,2015-09-24,False
92,1,1,A,A,2015-09-25,,False
92,3,1,A,,2011-04-27,2013-04-28,False
92,3,1,A,A,2013-04-29,,False
92,4,1,A,,2012-06-15,,False
93,1,1,A,,2013-06-21,2014-03-19,False
93,1,1,A,A,2014-03-20,2015-03-16,False
93,1,1,A,A,2015-03-17,2015-09-28,False
93,1,1,A,A,2015-09-29,,False
94,1,1,BBB,,2013-03-12,2014-03-20,False
94,1,1,BBB,BBB,2014-03-21,2014-12-09,False
94,1,1,BBB,BBB,2014-12-10,2015-11-16,False
94,1,1,B,BBB,2015-11-17,,False
94,2,1,BB,,2012-06-15,,False
94,3,1,B,,2011-04-08,2016-09-28,False
94,3,1,B,B,2016-09-29,,False
95,1,1,AA,,2013-08-12,2015-02-10,False
95,1,1,AA,AA,2015-02-11,2015-08-10,False
95,1,1,AA,AA,2015-08-11,,False
95,2,1,AA,,2012-06-15,,False
96,1,1,BBB,,2014-01-13,2014-10-07,False
96,1,1,BBB,BBB,2014-10-08,2015-12-21,False
96,1,1,BBB,BBB,2015-12-22,,False
96,3,1,BB,,2010-11-03,2012-04-04,False
96,3,1,BB,BB,2012-04-05,2012-12-09,False
96,3,1,BBB,BB,2012-12-10,2016-09-26,False
96,3,1,BBB,BBB,2016-09-27,,False
97,3,1,BBB,,2015-06-12,2016-05-31,False
97,3,1,BBB,BBB,2016-06-01,2016-09-27,False
97,3,1,BBB,BBB,2016-09-28,,False
98,3,1,B,,2015-01-28,,False
99,1,1,A,,2013-08-05,2015-05-07,False
99,1,1,A,A,2015-05-08,2015-08-11,False
99,1,1,A,A,2015-08-12,,False
99,4,1,A,,2012-06-15,,False
100,1,1,BB,,2013-05-31,2013-11-19,False
100,1,1,BB,BB,2013-11-20,2014-08-26,False
100,1,1,BB,BB,2014-08-27,2015-09-09,False
100,1,1,BB,BB,2015-09-10,,False
100,3,1,BBB,,2011-04-04,,False
100,4,1,BBB,,2012-06-15,,False
100,5,1,BBB,,2016-08-08,,False
101,1,1,A,,2013-11-12,2015-04-30,False
101,1,1,A,A,2015-05-01,2015-07-22,False
101,1,1,A,A,2015-07-23,,False
101,3,1,BBB,,2012-05-25,2016-07-24,False
101,3,1,BBB,BBB,2016-07-25,,False
101,4,1,BBB,,2013-03-06,,False
102,1,1,BBB,,2014-01-06,2015-09-23,False
102,1,1,BBB,BBB,2015-09-24,,False
102,2,1,BBB,,2013-02-08,,False
103,3,1,BBB,,2016-11-15,,False
103,4,1,BBB,,2016-05-31,,False
104,1,1,A,,2014-05-19,2015-02-17,False
104,1,1,A,A,2015-02-18,2015-07-26,False
104,1,1,A,A,2015-07-27,,False
105,1,1,AA,,2014-07-03,,False
105,3,1,A,,2011-05-31,2012-05-23,False
105,3,1,A,A,2012-05-24,2013-05-23,False
105,3,1,A,A,2013-05-24,2014-06-05,False
105,3,1,A,A,2014-06-06,2016-06-27,False
105,3,1,A,A,2016-06-28,2016-11-30,False
105,3,1,A,A,2016-12-01,,False
106,3,1,BBB,,2016-03-10,,False
107,2,1,A,,2014-09-22,2016-01-31,False
107,2,1,BBB,A,2016-02-01,,False
107,3,1,BBB,,2016-08-23,,False
108,1,1,A,,2014-05-07,2015-04-20,False
108,1,1,A,A,2015-04-21,2015-10-20,False
108,1,1,A,A,2015-10-21,,False
108,2,1,BBB,,2012-06-15,,False
109,1,1,BBB,,2013-12-11,2014-11-12,False
109,1,1,A,BBB,2014-11-13,,False
109,2,1,BBB,,2016-03-25,,False
109,3,1,BBB,,2011-04-28,2011-11-17,False
109,3,1,BBB,BBB,2011-11-18,2012-08-23,False
109,3,1,BBB,BBB,2012-08-24,2016-07-24,False
109,3,1,BBB,BBB,2016-07-25,,False
110,1,1,A,,2013-11-11,2014-08-04,False
110,1,1,A,A,2014-08-05,2015-09-17,False
110,1,1,BBB,A,2015-09-18,,False
110,4,1,BBB,,2012-06-15,,False
111,1,1,A,,2014-01-24,2014-07-31,False
111,1,1,A,A,2014-08-01,2015-09-15,False
111,1,1,A,A,2015-09-16,,False
111,3,1,BBB,,2012-08-03,2016-09-15,False
111,3,1,BBB,BBB,2016-09-16,,False
111,4,1,BBB,,2012-06-15,,False
112,3,1,BBB,,2011-11-10,2012-07-30,False
112,3,1,BBB,BBB,2012-07-31,2013-09-12,False
112,3,1,BBB,BBB,2013-09-13,2016-05-24,False
112,3,1,BBB,BBB,2016-05-25,2016-12-13,False
112,3,1,BB,BBB,2016-12-14,,False
112,4,1,BBB,,2015-01-28,,False
113,1,1,A,,2014-11-25,,False
113,2,1,A,,2012-07-04,,False
113,3,1,A,,2012-01-17,2013-07-15,False
113,3,1,A,A,2013-07-16,2016-01-31,False
113,3,1,A,A,2016-02-01,,False
113,4,1,BBB,,2016-09-14,,False
114,4,1,B,,2012-06-15,2012-10-17,False
114,4,1,B,B,2012-10-18,2015-06-25,False
114,4,1,BB,B,2015-06-26,2016-02-25,False
114,4,1,BB,BB,2016-02-26,2016-07-20,False
114,4,1,BB,BB,2016-07-21,,False
115,1,1,B,,2014-01-03,2015-04-12,False
115,1,1,B,B,2015-04-13,,False
115,3,1,CCC,,2015-10-28,2016-12-12,False
115,3,1,B,CCC,2016-12-13,,False
115,4,1,CCC,,2013-02-27,,False
116,1,1,A,,2013-05-01,2013-08-22,False
116,1,1,A,A,2013-08-23,2014-12-07,False
116,1,1,A,A,2014-12-08,2015-09-20,False
116,1,1,A,A,2015-09-21,,False
117,1,1,BB,,2013-09-06,2015-02-11,False
117,1,1,BB,BB,2015-02-12,2015-08-23,False
117,1,1,BB,BB,2015-08-24,,False
117,4,1,BBB,,2012-06-15,2016-10-10,False
117,4,1,BBB,BBB,2016-10-11,,False
118,1,1,B,,2013-12-26,,False
118,3,1,CCC,,2010-08-03,2011-11-03,False
118,3,1,BB,CCC,2011-11-04,2013-06-25,False
118,3,1,CCC,BB,2013-06-26,2014-09-23,False
118,3,1,CCC,CCC,2014-09-24,2016-11-15,False
118,3,1,B,CCC,2016-11-16,,False
118,4,1,CCC,,2016-05-20,,False
119,1,1,BB,,2013-09-25,2015-02-19,False
119,1,1,BB,BB,2015-02-20,2015-11-12,False
119,1,1,BB,BB,2015-11-13,,False
119,4,1,B,,2012-06-15,2012-08-13,False
119,4,1,B,B,2012-08-14,,False
120,1,1,BBB,,2014-02-24,2014-12-21,False
120,1,1,BBB,BBB,2014-12-22,2015-08-31,False
120,1,1,BBB,BBB,2015-09-01,,False
121,1,1,B,,2015-06-29,2015-09-27,False
121,1,1,B,B,2015-09-28,,False
121,3,1,BB,,2011-05-26,2013-11-05,False
121,3,1,BB,BB,2013-11-06,,False
122,1,1,AA,,2014-05-27,2014-11-09,False
122,1,1,AA,AA,2014-11-10,2015-11-03,False
122,1,1,AA,AA,2015-11-04,,False
122,2,1,A,,2012-10-12,,False
122,3,1,BBB,,2011-06-21,2011-09-20,False
122,3,1,A,BBB,2011-09-21,,False
123,3,1,BB,,2015-03-31,2016-07-31,False
123,3,1,BB,BB,2016-08-01,,False
123,4,1,BB,,2012-06-15,2013-12-11,False
123,4,1,BB,BB,2013-12-12,2015-08-09,False
123,4,1,BB,BB,2015-08-10,,False
124,1,1,A,,2013-06-19,2014-01-16,False
124,1,1,A,A,2014-01-17,2015-06-17,False
124,1,1,AA,A,2015-06-18,2015-09-29,False
124,1,1,AA,AA,2015-09-30,,False
125,1,1,BBB,,2014-03-31,2015-06-14,False
125,1,1,A,BBB,2015-06-15,2015-12-03,False
125,1,1,A,A,2015-12-04,,False
125,4,1,BBB,,2012-06-15,2016-09-06,False
125,4,1,BBB,BBB,2016-09-07,,False
126,1,1,BBB,,2014-02-14,2014-08-05,False
126,1,1,BBB,BBB,2014-08-06,2015-10-25,False
126,1,1,BBB,BBB,2015-10-26,,False
126,3,1,BBB,,2010-12-20,2016-11-27,False
126,3,1,BBB,BBB,2016-11-28,,False
126,4,1,BBB,,2012-06-15,2013-02-20,False
126,4,1,BBB,BBB,2013-02-21,,False
127,1,1,AA,,2014-07-15,,False
127,4,1,AAA,,2013-12-02,,False
128,1,1,BBB,,2013-11-04,2014-08-04,False
128,1,1,BBB,BBB,2014-08-05,2015-11-09,False
128,1,1,BBB,BBB,2015-11-10,,False
128,4,1,BBB,,2012-06-15,2016-08-01,False
128,4,1,BBB,BBB,2016-08-02,,False
129,1,1,A,,2014-06-12,2015-04-22,False
129,1,1,A,A,2015-04-23,2015-07-22,False
129,1,1,A,A,2015-07-23,,False
129,2,1,A,,2012-06-15,,False
129,4,1,A,,2016-11-02,,False
130,1,1,BBB,,2014-01-27,2015-02-12,False
130,1,1,BBB,BBB,2015-02-13,2015-10-22,False
130,1,1,BBB,BBB,2015-10-23,,False
130,3,1,A,,2012-08-20,2016-10-20,False
130,3,1,A,A,2016-10-21,,False
130,4,1,A,,2012-06-15,,False
131,1,1,AAA,,2014-02-11,2014-11-02,False
131,1,1,AA,AAA,2014-11-03,2015-08-23,False
131,1,1,AA,AA,2015-08-24,,False
131,4,1,BBB,,2012-06-15,2013-03-12,False
131,4,1,BBB,BBB,2013-03-13,2016-08-01,False
131,4,1,A,BBB,2016-08-02,,False
132,1,1,BBB,,2013-11-04,2014-10-30,False
132,1,1,BBB,BBB,2014-10-31,2015-08-09,False
132,1,1,BBB,BBB,2015-08-10,,False
133,1,1,BB,,2014-01-07,2014-12-04,False
133,1,1,BBB,BB,2014-12-05,2015-11-29,False
133,1,1,BBB,BBB,2015-11-30,,False
134,1,1,A,,2013-07-23,2014-10-21,False
134,1,1,A,A,2014-10-22,2015-10-27,False
134,1,1,A,A,2015-10-28,,False
134,4,1,A,,2012-06-15,,False
135,1,1,B,,2014-01-30,2015-05-05,False
