scd_key,security_id,vendor,rating_type,rating,effective_start_date,effective_end_date,is_active,source_feed_id,rating_raw
87,BNK120C,ICRA,Issuer Rating,CA,2024-11-22,,1,77,Ca
88,BNK120C,ICRA,Long Term,CAA3,2024-08-04,2024-11-29,0,77,Caa3
89,BNK120C,ICRA,Long Term,A2+,2024-11-30,2025-01-06,0,77,A2+
90,BNK120C,ICRA,Long Term,CC,2025-01-07,2025-02-04,0,77,CC
91,BNK120C,ICRA,Long Term,BBB,2025-02-05,,1,77,BBB-
92,BNK120C,ICRA,Short Term,AA,2024-08-29,2024-08-31,0,77,AA-
93,BNK120C,ICRA,Short Term,A,2024-09-01,2024-10-06,0,77,A-
94,BNK120C,ICRA,Short Term,BA3,2024-10-07,2024-10-08,0,77,Ba3
95,BNK120C,ICRA,Short Term,BB-,2024-10-09,2024-12-23,0,77,BB-
96,BNK120C,ICRA,Short Term,BB+,2024-12-24,2025-03-08,0,77,BB+
97,BNK120C,ICRA,Short Term,BAA3,2025-03-09,,1,77,Baa3
98,BNK120C,Kroll,Corporate Rating,BAA3,2024-11-07,,1,55,Baa3
99,BNK120C,Kroll,Issuer Rating,B-,2024-12-10,2025-02-09,0,55,B-
100,BNK120C,Kroll,Issuer Rating,A2+,2025-02-10,2025-03-15,0,55,A2+
101,BNK120C,Kroll,Issuer Rating,C,2025-03-16,,1,55,C
102,BNK120C,Kroll,Long Term,CCC,2024-08-21,2024-09-01,0,55,CCC
103,BNK120C,Kroll,Long Term,B,2024-09-02,2024-12-18,0,55,B
104,BNK120C,Kroll,Long Term,CAA3,2024-12-19,2025-01-07,0,55,Caa3
105,BNK120C,Kroll,Long Term,BBB,2025-01-08,2025-01-29,0,55,BBB
106,BNK120C,Kroll,Long Term,BB-,2025-01-30,2025-03-30,0,55,BB-
107,BNK120C,Kroll,Long Term,A1+,2025-03-31,2025-04-08,0,55,A1+
108,BNK120C,Kroll,Long Term,CC,2025-04-09,2025-05-07,0,55,CC
109,BNK120C,Kroll,Long Term,CAA1,2025-05-08,,1,55,Caa1
110,BNK120C,Kroll,Short Term,A2,2024-07-22,2024-08-01,0,55,A2
111,BNK120C,Kroll,Short Term,AA,2024-08-02,2024-12-18,0,55,AA+
112,BNK120C,Kroll,Short Term,BBB,2024-12-19,2024-12-20,0,55,BBB+
113,BNK120C,Kroll,Short Term,BB-,2024-12-21,2025-01-18,0,55,BB-
114,BNK120C,Kroll,Short Term,BB+,2025-01-19,,1,55,BB+
115,BNK120C,Morningstar,Corporate Rating,A2,2024-06-14,2025-01-26,0,66,A2
116,BNK120C,Morningstar,Corporate Rating,A,2025-01-27,,1,66,A
117,BNK120C,Morningstar,Issuer Rating,CAA2,2024-08-14,2024-10-02,0,66,Caa2
118,BNK120C,Morningstar,Issuer Rating,B,2024-10-03,2025-02-16,0,66,B
119,BNK120C,Morningstar,Issuer Rating,D,2025-02-17,,1,66,D
120,BNK120C,Morningstar,Long Term,CCC,2024-07-08,2025-05-20,0,66,CCC
121,BNK120C,Morningstar,Long Term,A,2025-05-21,,1,66,A-
122,BNK120C,Morningstar,Short Term,A2,2024-08-17,2024-11-18,0,66,A2
123,BNK120C,Morningstar,Short Term,B-,2024-11-19,,1,66,B-
124,BRX45LP,DBRS,Long Term,BB,2024-03-25,2024-05-29,0,44,BB
125,BRX45LP,DBRS,Long Term,BB+,2024-05-30,2024-07-06,0,44,BB+
126,BRX45LP,DBRS,Long Term,AA,2024-07-07,2024-07-16,0,44,AA
127,BRX45LP,DBRS,Long Term,BA3,2024-07-17,2024-07-31,0,44,Ba3
128,BRX45LP,DBRS,Long Term,B2,2024-08-01,2024-08-24,0,44,B2
129,BRX45LP,DBRS,Long Term,BBB,2024-08-25,2024-09-13,0,44,BBB-
130,BRX45LP,DBRS,Long Term,B3,2024-09-14,2024-09-30,0,44,B3
131,BRX45LP,DBRS,Long Term,BAA3,2024-10-01,2024-10-30,0,44,Baa3
132,BRX45LP,DBRS,Long Term,BB,2024-10-31,,1,44,BB
133,BRX45LP,DBRS,Short Term,CC,2024-02-26,2024-02-26,0,44,CC
134,BRX45LP,DBRS,Short Term,B3,2024-02-27,2024-05-13,0,44,B3
135,BRX45LP,DBRS,Short Term,A,2024-05-14,2024-06-21,0,44,A
136,BRX45LP,DBRS,Short Term,B2,2024-06-22,2024-09-25,0,44,B2
137,BRX45LP,DBRS,Short Term,AAA,2024-09-26,2024-10-29,0,44,AAA
138,BRX45LP,DBRS,Short Term,BA1,2024-10-30,2024-11-08,0,44,Ba1
139,BRX45LP,DBRS,Short Term,B2,2024-11-09,2024-12-08,0,44,B2
140,BRX45LP,DBRS,Short Term,C,2024-12-09,,1,44,C
141,BRX45LP,Fitch,Long Term,A,2024-01-04,2024-03-01,0,12,A
142,BRX45LP,Fitch,Long Term,B+,2024-03-02,2024-03-21,0,12,B+
143,BRX45LP,Fitch,Long Term,C,2024-03-22,2024-05-31,0,12,C
144,BRX45LP,Fitch,Long Term,Ba2,2024-06-01,2024-09-17,0,12,Ba2
145,BRX45LP,Fitch,Long Term,BBB,2024-09-18,2024-10-18,0,12,BBB+
146,BRX45LP,Fitch,Long Term,B3,2024-10-19,2024-10-21,0,12,B3
147,BRX45LP,Fitch,Long Term,Ba2,2024-10-22,2024-11-06,0,12,Ba2
148,BRX45LP,Fitch,Long Term,Baa3,2024-11-07,,1,12,Baa3
149,BRX45LP,Fitch,Short Term,BBB,2024-01-01,2024-04-05,0,12,BBB+
150,BRX45LP,Fitch,Short Term,B+,2024-04-06,2024-05-17,0,12,B+
151,BRX45LP,Fitch,Short Term,A,2024-05-18,2024-05-17,0,12,A-
152,BRX45LP,Fitch,Short Term,Aaa,2024-05-18,2024-07-08,0,12,Aaa
153,BRX45LP,Fitch,Short Term,B1,2024-07-09,2024-07-24,0,12,B1
154,BRX45LP,Fitch,Short Term,A,2024-07-25,2024-08-14,0,12,A
155,BRX45LP,Fitch,Short Term,A1,2024-08-15,2024-09-08,0,12,A1
156,BRX45LP,Fitch,Short Term,BBB,2024-09-09,,1,12,BBB+
157,BRX45LP,Moody's,Long Term,Caa2,2024-03-21,2024-04-23,0,7,Caa2
158,BRX45LP,Moody's,Long Term,CC,2024-04-24,2024-05-07,0,7,Ca
159,BRX45LP,Moody's,Long Term,Caa2,2024-05-08,2024-09-25,0,7,Caa2
160,BRX45LP,Moody's,Long Term,BB,2024-09-26,2024-10-05,0,7,BB
161,BRX45LP,Moody's,Long Term,D,2024-10-06,2024-11-01,0,7,D
162,BRX45LP,Moody's,Long Term,A,2024-11-02,,1,7,A2
163,BRX45LP,Moody's,Short Term,B,2024-01-23,2024-02-22,0,7,B
164,BRX45LP,Moody's,Short Term,AA,2024-02-23,2024-03-30,0,7,AA
165,BRX45LP,Moody's,Short Term,A+,2024-03-31,2024-04-30,0,7,A+
166,BRX45LP,Moody's,Short Term,B,2024-05-01,2024-05-12,0,7,B1
167,BRX45LP,Moody's,Short Term,C,2024-05-13,2024-08-10,0,7,C
168,BRX45LP,Moody's,Short Term,A,2024-08-11,2024-10-19,0,7,A1
169,BRX45LP,Moody's,Short Term,BBB-,2024-10-20,2024-11-17,0,7,BBB-
170,BRX45LP,Moody's,Short Term,B,2024-11-18,,1,7,B2
171,BRX45LP,S&P,Long Term,Baa3,2024-02-17,2024-03-14,0,90,Baa3
172,BRX45LP,S&P,Long Term,CCC-,2024-03-15,2024-03-22,0,90,CCC-
173,BRX45LP,S&P,Long Term,A3,2024-03-23,2024-04-02,0,90,A3
174,BRX45LP,S&P,Long Term,A,2024-04-03,2024-07-21,0,90,A+
175,BRX45LP,S&P,Long Term,Ba3,2024-07-22,2024-07-24,0,90,Ba3
176,BRX45LP,S&P,Long Term,Caa3,2024-07-25,2024-08-31,0,90,Caa3
177,BRX45LP,S&P,Long Term,Baa2,2024-09-01,2024-10-31,0,90,Baa2
178,BRX45LP,S&P,Long Term,Aaa,2024-11-01,2024-11-16,0,90,Aaa
179,BRX45LP,S&P,Long Term,AA,2024-11-17,,1,90,AA-
180,BRX45LP,S&P,Short Term,CCC-,2024-02-03,2024-02-16,0,90,CCC-
181,BRX45LP,S&P,Short Term,CCC+,2024-02-17,2024-04-15,0,90,CCC+
182,BRX45LP,S&P,Short Term,Ca,2024-04-16,2024-04-17,0,90,Ca
183,BRX45LP,S&P,Short Term,Caa1,2024-04-18,2024-08-06,0,90,Caa1
184,BRX45LP,S&P,Short Term,BB-,2024-08-07,2024-08-06,0,90,BB-
185,BRX45LP,S&P,Short Term,AA,2024-08-07,2024-09-17,0,90,AA
186,BRX45LP,S&P,Short Term,CCC+,2024-09-18,2024-10-30,0,90,CCC+
187,BRX45LP,S&P,Short Term,BBB,2024-10-31,2024-12-03,0,90,BBB-
188,BRX45LP,S&P,Short Term,B,2024-12-04,,1,90,B
189,DFR890P,CARE,Corporate Rating,CAA3,2024-11-22,2024-12-18,0,88,Caa3
190,DFR890P,CARE,Corporate Rating,BBB,2024-12-19,2024-12-20,0,88,BBB-
191,DFR890P,CARE,Corporate Rating,CCC-,2024-12-21,2025-02-22,0,88,CCC-
192,DFR890P,CARE,Corporate Rating,A1+,2025-02-23,2025-03-19,0,88,A1+
193,DFR890P,CARE,Corporate Rating,BA1,2025-03-20,,1,88,Ba1
194,DFR890P,CARE,Issuer Rating,BA1,2024-07-25,2024-10-21,0,88,Ba1
195,DFR890P,CARE,Issuer Rating,D,2024-10-22,2024-10-31,0,88,D
196,DFR890P,CARE,Issuer Rating,AA,2024-11-01,2024-12-22,0,88,AA
197,DFR890P,CARE,Issuer Rating,BBB,2024-12-23,2025-02-25,0,88,BBB-
198,DFR890P,CARE,Issuer Rating,CA,2025-02-26,2025-05-16,0,88,Ca
199,DFR890P,CARE,Issuer Rating,BAA3,2025-05-17,,1,88,Baa3
200,DFR890P,CARE,Long Term,B,2024-08-14,2024-08-30,0,88,B
201,DFR890P,CARE,Long Term,BB,2024-08-31,2025-01-04,0,88,BB
202,DFR890P,CARE,Long Term,A2+,2025-01-05,2025-01-20,0,88,A2+
203,DFR890P,CARE,Long Term,B,2025-01-21,,1,88,B
204,DFR890P,CARE,Short Term,B,2024-08-29,2024-09-22,0,88,B
205,DFR890P,CARE,Short Term,BBB,2024-09-23,2024-11-03,0,88,BBB-
206,DFR890P,CARE,Short Term,CAA2,2024-11-04,2025-02-05,0,88,Caa2
207,DFR890P,CARE,Short Term,B-,2025-02-06,2025-02-28,0,88,B-
208,DFR890P,CARE,Short Term,A3,2025-03-01,2025-04-02,0,88,A3
209,DFR890P,CARE,Short Term,CAA3,2025-04-03,,1,88,Caa3
210,DFR890P,ICRA,Corporate Rating,BA1,2024-09-19,2024-10-08,0,77,Ba1
211,DFR890P,ICRA,Corporate Rating,CC,2024-10-09,2025-03-20,0,77,CC
212,DFR890P,ICRA,Corporate Rating,BBB,2025-03-21,2025-04-03,0,77,BBB-
213,DFR890P,ICRA,Corporate Rating,CAA2,2025-04-04,2025-05-23,0,77,Caa2
214,DFR890P,ICRA,Corporate Rating,AA,2025-05-24,2025-05-31,0,77,AA+
215,DFR890P,ICRA,Corporate Rating,B+,2025-06-01,,1,77,B+
216,DFR890P,ICRA,Issuer Rating,BAA1,2024-09-05,2024-12-27,0,77,Baa1
217,DFR890P,ICRA,Issuer Rating,BAA2,2024-12-28,2025-01-10,0,77,Baa2
218,DFR890P,ICRA,Issuer Rating,CC,2025-01-11,2025-02-07,0,77,CC
219,DFR890P,ICRA,Issuer Rating,BAA2,2025-02-08,,1,77,Baa2
220,DFR890P,ICRA,Long Term,D,2024-07-17,,1,77,D
221,DFR890P,ICRA,Short Term,AA,2024-07-03,2024-09-02,0,77,AA-
222,DFR890P,ICRA,Short Term,A2+,2024-09-03,2024-11-12,0,77,A2+
223,DFR890P,ICRA,Short Term,CCC+,2024-11-13,2025-03-11,0,77,CCC+
224,DFR890P,ICRA,Short Term,AA,2025-03-12,2025-05-12,0,77,AA+
225,DFR890P,ICRA,Short Term,A1,2025-05-13,2025-05-16,0,77,A1
226,DFR890P,ICRA,Short Term,D,2025-05-17,,1,77,D
227,DFR890P,Kroll,Corporate Rating,D,2025-02-10,2025-05-24,0,55,D
228,DFR890P,Kroll,Corporate Rating,B+,2025-05-25,,1,55,B+
229,DFR890P,Kroll,Issuer Rating,C,2025-01-20,2025-05-29,0,55,C
230,DFR890P,Kroll,Issuer Rating,BA2,2025-05-30,,1,55,Ba2
231,DFR890P,Kroll,Long Term,BBB,2024-07-29,2024-12-02,0,55,BBB+
232,DFR890P,Kroll,Long Term,CCC,2024-12-03,2025-04-27,0,55,CCC
233,DFR890P,Kroll,Long Term,BA3,2025-04-28,,1,55,Ba3
234,DFR890P,Kroll,Short Term,A,2024-07-08,2024-07-25,0,55,A
235,DFR890P,Kroll,Short Term,B,2024-07-26,2024-09-09,0,55,B
236,DFR890P,Kroll,Short Term,CCC-,2024-09-10,2024-09-10,0,55,CCC-
237,DFR890P,Kroll,Short Term,BA2,2024-09-11,2025-03-04,0,55,Ba2
238,DFR890P,Kroll,Short Term,A1+,2025-03-05,,1,55,A1+
239,DFR890P,Morningstar,Corporate Rating,A1,2024-07-13,2024-07-14,0,66,A1
240,DFR890P,Morningstar,Corporate Rating,A,2024-07-15,2024-08-06,0,66,A
241,DFR890P,Morningstar,Corporate Rating,CA,2024-08-07,2024-08-28,0,66,Ca
242,DFR890P,Morningstar,Corporate Rating,CC,2024-08-29,2024-11-19,0,66,CC
243,DFR890P,Morningstar,Corporate Rating,AAA,2024-11-20,2024-11-20,0,66,AAA
244,DFR890P,Morningstar,Corporate Rating,B-,2024-11-21,2024-11-27,0,66,B-
245,DFR890P,Morningstar,Corporate Rating,BBB,2024-11-28,2025-02-18,0,66,BBB-
246,DFR890P,Morningstar,Corporate Rating,CCC-,2025-02-19,2025-05-25,0,66,CCC-
247,DFR890P,Morningstar,Corporate Rating,B-,2025-05-26,,1,66,B-
248,DFR890P,Morningstar,Issuer Rating,B+,2024-06-17,2025-02-28,0,66,B+
249,DFR890P,Morningstar,Issuer Rating,A2+,2025-03-01,2025-05-17,0,66,A2+
250,DFR890P,Morningstar,Issuer Rating,CC,2025-05-18,,1,66,CC
251,DFR890P,Morningstar,Long Term,AA,2024-09-27,2024-10-01,0,66,AA-
252,DFR890P,Morningstar,Long Term,CCC,2024-10-02,2025-05-03,0,66,CCC
253,DFR890P,Morningstar,Long Term,A1,2025-05-04,,1,66,A1
254,DFR890P,Morningstar,Short Term,BB,2024-07-06,2025-01-12,0,66,BB
255,DFR890P,Morningstar,Short Term,CA,2025-01-13,,1,66,Ca
256,FRD24GG,DBRS,Long Term,AAA,2024-01-06,2024-01-25,0,44,Aaa
257,FRD24GG,DBRS,Long Term,A,2024-01-26,2024-02-07,0,44,A+
258,FRD24GG,DBRS,Long Term,BBB,2024-02-08,2024-03-25,0,44,BBB+
259,FRD24GG,DBRS,Long Term,BB+,2024-03-26,2024-06-21,0,44,BB+
260,FRD24GG,DBRS,Long Term,AA,2024-06-22,2024-07-04,0,44,AA
261,FRD24GG,DBRS,Long Term,AAA,2024-07-05,2024-07-17,0,44,AAA
262,FRD24GG,DBRS,Long Term,CC,2024-07-18,2024-08-09,0,44,CC
263,FRD24GG,DBRS,Long Term,CAA2,2024-08-10,2024-08-22,0,44,Caa2
264,FRD24GG,DBRS,Long Term,A1,2024-08-23,2024-10-20,0,44,A1
265,FRD24GG,DBRS,Long Term,CAA1,2024-10-21,,1,44,Caa1
266,FRD24GG,DBRS,Short Term,CA,2024-06-04,2024-06-25,0,44,Ca
267,FRD24GG,DBRS,Short Term,A2,2024-06-26,2024-10-05,0,44,A2
268,FRD24GG,DBRS,Short Term,BAA1,2024-10-06,,1,44,Baa1
269,FRD24GG,Fitch,Long Term,Caa3,2024-07-05,2024-08-26,0,12,Caa3
270,FRD24GG,Fitch,Long Term,B,2024-08-27,2024-11-29,0,12,B
271,FRD24GG,Fitch,Long Term,C,2024-11-30,2024-12-16,0,12,C
272,FRD24GG,Fitch,Long Term,B3,2024-12-17,,1,12,B3
273,FRD24GG,Fitch,Short Term,D,2024-01-08,2024-02-01,0,12,D
274,FRD24GG,Fitch,Short Term,Ba1,2024-02-02,2024-03-29,0,12,Ba1
275,FRD24GG,Fitch,Short Term,Ba3,2024-03-30,2024-04-05,0,12,Ba3
276,FRD24GG,Fitch,Short Term,Aa3,2024-04-06,2024-04-14,0,12,Aa3
277,FRD24GG,Fitch,Short Term,CC,2024-04-15,2024-06-20,0,12,CC
278,FRD24GG,Fitch,Short Term,Caa3,2024-06-21,2024-07-01,0,12,Caa3
279,FRD24GG,Fitch,Short Term,B1,2024-07-02,2024-07-08,0,12,B1
280,FRD24GG,Fitch,Short Term,AAA,2024-07-09,2024-09-22,0,12,AAA
281,FRD24GG,Fitch,Short Term,BB,2024-09-23,2024-12-01,0,12,BB+
282,FRD24GG,Fitch,Short Term,Aa3,2024-12-02,,1,12,Aa3
283,FRD24GG,Moody's,Long Term,BBB,2024-01-19,2024-03-20,0,7,Baa3
284,FRD24GG,Moody's,Long Term,A,2024-03-21,2024-04-20,0,7,A
285,FRD24GG,Moody's,Long Term,B,2024-04-21,2024-04-23,0,7,B
286,FRD24GG,Moody's,Long Term,BBB,2024-04-24,2024-09-20,0,7,Baa3
287,FRD24GG,Moody's,Long Term,B,2024-09-21,2024-10-02,0,7,B
288,FRD24GG,Moody's,Long Term,AAA,2024-10-03,2024-10-18,0,7,Aaa
289,FRD24GG,Moody's,Long Term,D,2024-10-19,2024-11-18,0,7,D
290,FRD24GG,Moody's,Long Term,B-,2024-11-19,2024-12-27,0,7,B-
291,FRD24GG,Moody's,Long Term,Caa2,2024-12-28,,1,7,Caa2
292,FRD24GG,Moody's,Short Term,A,2024-04-21,2024-06-08,0,7,A1
293,FRD24GG,Moody's,Short Term,CC,2024-06-09,2024-07-18,0,7,Ca
294,FRD24GG,Moody's,Short Term,BB,2024-07-19,2024-08-16,0,7,Ba3
295,FRD24GG,Moody's,Short Term,AAA,2024-08-17,2024-10-07,0,7,Aaa
296,FRD24GG,Moody's,Short Term,Caa1,2024-10-08,2024-12-09,0,7,Caa1
297,FRD24GG,Moody's,Short Term,A,2024-12-10,2024-12-10,0,7,A2
298,FRD24GG,Moody's,Short Term,BBB+,2024-12-11,,1,7,BBB+
299,FRD24GG,S&P,Long Term,Baa1,2024-02-04,2024-03-04,0,90,Baa1
300,FRD24GG,S&P,Long Term,AA,2024-03-05,2024-03-14,0,90,AA
301,FRD24GG,S&P,Long Term,A1,2024-03-15,2024-04-22,0,90,A1
302,FRD24GG,S&P,Long Term,B+,2024-04-23,2024-04-23,0,90,B+
303,FRD24GG,S&P,Long Term,B3,2024-04-24,2024-05-24,0,90,B3
304,FRD24GG,S&P,Long Term,CCC-,2024-05-25,2024-06-03,0,90,CCC-
305,FRD24GG,S&P,Long Term,Ba3,2024-06-04,2024-07-17,0,90,Ba3
306,FRD24GG,S&P,Long Term,Caa1,2024-07-18,2024-09-03,0,90,Caa1
307,FRD24GG,S&P,Long Term,BB+,2024-09-04,2024-10-19,0,90,BB+
308,FRD24GG,S&P,Long Term,Aa3,2024-10-20,2024-11-13,0,90,Aa3
309,FRD24GG,S&P,Long Term,B1,2024-11-14,2024-11-18,0,90,B1
310,FRD24GG,S&P,Long Term,Aaa,2024-11-19,,1,90,Aaa
311,FRD24GG,S&P,Short Term,B,2024-02-16,2024-03-10,0,90,B
312,FRD24GG,S&P,Short Term,Aa2,2024-03-11,2024-03-30,0,90,Aa2
313,FRD24GG,S&P,Short Term,BB+,2024-03-31,2024-06-03,0,90,BB+
314,FRD24GG,S&P,Short Term,Caa1,2024-06-04,2024-06-11,0,90,Caa1
315,FRD24GG,S&P,Short Term,C,2024-06-12,2024-07-12,0,90,C
316,FRD24GG,S&P,Short Term,A1,2024-07-13,2024-08-10,0,90,A1
317,FRD24GG,S&P,Short Term,Aa1,2024-08-11,2024-08-19,0,90,Aa1
318,FRD24GG,S&P,Short Term,B+,2024-08-20,2024-09-22,0,90,B+
319,FRD24GG,S&P,Short Term,A,2024-09-23,2024-10-13,0,90,A+
320,FRD24GG,S&P,Short Term,AA,2024-10-14,2024-11-19,0,90,AA+
321,FRD24GG,S&P,Short Term,BB,2024-11-20,,1,90,BB
322,KLP230R,DBRS,Long Term,BA2,2024-01-24,2024-02-10,0,44,Ba2
